Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
c183c8b5-3352-1bdd-7a3d-4b47f7102397,2022-10-30,,999-45-6411,,,,Sean831,Edwin773,Lueilwitz711,,,,asian,nonhispanic,M,Westport  Massachusetts  US,7027.14,52.16
a0c8480c-7550-0e1c-7a51-8ea457405a4a,2024-01-09,,999-18-4987,,,,Willette878,,Schamberger479,,,,white,nonhispanic,F,West Dennis  Massachusetts  US,300,5908.65
05680a39-c50c-7d51-af4a-000407aab4bc,1985-07-04,,999-45-4517,S99987741,X1369384X,Mr.,Lonnie913,,Schneider199,,,M,white,nonhispanic,M,Barnstable  Massachusetts  US,48571.33,47996.54
baf0e9ab-3657-ffc8-f2dd-db867488a7aa,2004-09-11,,999-37-5191,S99979929,X63641741X,Ms.,Shaunte610,Melonie209,Crooks415,,,,white,nonhispanic,F,Westfield  Massachusetts  US,67043.49,0
56184d98-bf84-acf8-c41e-fbbf6a41ed61,1997-03-01,,999-23-2453,S99925526,X50480247X,Mr.,Tony646,Man114,Grimes165,,,M,white,nonhispanic,M,Andover  Massachusetts  US,5528.32,64896.42
caf888aa-0925-9fab-afd7-470600f04d62,2010-03-19,,999-66-1741,,,,Denny560,Guy979,Douglas31,,,,white,nonhispanic,M,Tyngsborough  Massachusetts  US,2737.73,60422.46
49346077-165c-f2c9-5246-29ca834d928b,2023-02-28,,999-98-7308,,,,Edwin773,Dustin31,Parker433,,,,white,nonhispanic,M,Chelsea  Massachusetts  US,250,10204.78
427bf0f8-d73c-3e35-6c25-2c633f104d60,1972-12-18,,999-10-7506,S99925757,X56744728X,Mr.,Ira784,Aaron697,Durgan499,,,M,white,nonhispanic,M,Fitchburg  Massachusetts  US,129869.35,93501.54
85e05ba7-0f60-dcd7-b432-6e18cc6620e9,1987-12-16,,999-99-9766,S99961881,X51842998X,Mrs.,Katelynn452,,Schimmel440,,Pfannerstill264,D,white,nonhispanic,F,Westfield  Massachusetts  US,207280.02,502777.72
1521fb8d-fef1-988a-293e-8537cac23df4,1978-03-10,,999-63-3724,S99935641,X41852840X,Mr.,Curt84,Jasper743,Lockman863,,,S,white,nonhispanic,M,Pepperell  Massachusetts  US,372571.94,559.31
